,Room,20:a6:cd:90:e0:40,24:f2:7f:ac:db:c0,24:f2:7f:ac:c0:81,24:f2:7f:ac:d4:50,70:3a:0e:62:d7:31,20:a6:cd:8e:9f:10,70:3a:0e:62:e0:50,20:a6:cd:8e:9e:e1,34:fc:b9:14:93:50,34:fc:b9:14:93:40,c8:b5:ad:e9:a6:01,20:a6:cd:8e:bd:41,20:a6:cd:8e:9e:40,20:a6:cd:90:e0:41,9c:8c:d8:a1:1d:21,34:fc:b9:14:b0:31,20:a6:cd:8e:9e:00,34:fc:b9:14:af:30,24:f2:7f:ac:d7:81,c8:b5:ad:e7:1e:50,34:fc:b9:14:af:e0,c8:b5:ad:e9:ab:51,70:3a:0e:62:ec:51,24:f2:7f:ac:d7:c0,c8:b5:ad:e9:9c:e0,34:fc:b9:14:93:51,cc:88:c7:80:7e:43,24:f2:7f:ac:d3:81,c8:b5:ad:ca:75:00,70:3a:0e:62:d8:41,e8:26:89:4e:b7:a0,24:f2:7f:ac:d7:d0,34:fc:b9:14:ad:a0,70:3a:0e:62:d8:40,b4:5d:50:6b:9e:e1,24:f2:7f:ac:de:01,c8:b5:ad:ca:75:10,70:3a:0e:62:d8:51,cc:88:c7:81:67:e0,c8:b5:ad:4e:95:d1,20:a6:cd:8e:bd:40,20:a6:cd:8e:9e:81,c8:b5:ad:e7:1e:61,20:a6:cd:90:bd:11,20:a6:cd:8e:9e:a0,c8:b5:ad:ca:86:e2,24:f2:7f:ac:db:d1,34:fc:b9:14:af:21,c8:b5:ad:e7:1e:70,20:a6:cd:8e:bd:51,20:a6:cd:8e:9e:e0,24:f2:7f:ac:d4:41,20:a6:cd:90:e1:c0,20:a6:cd:8e:9f:00,34:fc:b9:14:ae:20,34:fc:b9:14:95:21,20:a6:cd:8e:9e:10,34:fc:b9:14:a7:d1,24:f2:7f:ac:dd:80,24:f2:7f:ac:c7:41,e8:26:89:4e:b7:b0,c8:b5:ad:e7:1e:b1,20:a6:cd:8e:9f:91,c8:b5:ad:4e:bb:01,24:f2:7f:ac:d6:61,c8:b5:ad:ca:75:41,20:a6:cd:8e:a0:c1,9c:8c:d8:a1:1d:20,24:f2:7f:ac:d4:f0,c8:b5:ad:e7:1e:40,20:a6:cd:90:e0:51,c8:b5:ad:e7:1e:51,70:3a:0e:62:e0:41,34:fc:b9:14:af:f0,c8:b5:ad:e9:9c:f1,e8:26:89:4e:b7:b1,24:f2:7f:ac:c7:40,44:48:c1:7b:d4:e1,24:f2:7f:ac:db:d0,c8:b5:ad:e7:1a:41,20:a6:cd:8e:9e:01,34:fc:b9:14:95:30,e8:26:89:4e:b7:a1,24:f2:7f:ac:d4:61,24:f2:7f:ac:db:c1,24:f2:7f:ac:d1:20,34:fc:b9:14:a7:c0,20:a6:cd:8e:a0:00,70:3a:0e:62:dd:90,cc:88:c7:80:7e:53,24:f2:7f:ac:d6:60,24:f2:7f:ac:d7:70,24:f2:7f:ac:dd:91,70:3a:0e:62:e7:c1,c8:b5:ad:e7:1e:a0,70:3a:0e:62:de:f0,20:a6:cd:8e:9e:a1,34:fc:b9:14:b3:a0,20:a6:cd:8e:9f:01,24:f2:7f:ac:d7:60,c8:b5:ad:e7:1a:40,cc:88:c7:80:7e:40,24:f2:7f:ac:d4:60,c8:b5:ad:4e:bb:00,34:fc:b9:14:b0:51,24:f2:7f:ac:c7:51,c8:b5:ad:e9:9c:f0,34:fc:b9:14:a7:d0,9c:8c:d8:a1:1d:31,70:3a:0e:62:dd:80,24:f2:7f:ac:d6:70,70:3a:0e:62:e0:40,34:fc:b9:14:a7:c1,70:3a:0e:62:de:f1,24:f2:7f:ac:dd:81,24:f2:7f:ac:c7:a0,24:f2:7f:ac:dd:90,24:f2:7f:ac:d4:40,20:a6:cd:90:bd:10,70:3a:0e:62:dd:91,70:3a:0e:62:d7:21,34:fc:b9:14:af:e1,24:f2:7f:ac:d1:30,20:a6:cd:8e:9e:91,cc:88:c7:81:67:e2,c8:b5:ad:ca:75:11,70:3a:0e:62:d7:30,c8:b5:ad:e9:a6:10,34:fc:b9:14:ad:a1,20:a6:cd:8e:9e:41,20:a6:cd:8e:9f:90,24:f2:7f:ac:d7:c1,c8:b5:ad:ca:82:61,24:f2:7f:ac:d1:21,20:a6:cd:8e:9e:51,24:f2:7f:ac:de:11,c8:b5:ad:ca:8f:d1,24:f2:7f:ac:d4:e1,c8:b5:ad:ca:89:a0,20:a6:cd:8e:bd:50,24:f2:7f:ac:c7:50,70:3a:0e:62:d8:50,c8:b5:ad:4e:95:d0,cc:88:c7:80:7e:50,c8:b5:ad:ca:89:a1,20:a6:cd:8e:9f:81,70:3a:0e:62:d7:20,c8:b5:ad:ca:8f:c0,c8:b5:ad:ca:75:01,c8:b5:ad:4e:b9:80,20:a6:cd:8e:9f:80,c8:b5:ad:4e:b3:21,70:3a:0e:62:ec:41,34:fc:b9:14:b0:50,c8:b5:ad:e9:a6:00,20:a6:cd:8e:a0:d1,24:f2:7f:ac:d7:61,20:a6:cd:8e:9e:90,20:a6:cd:8e:a0:11,20:a6:cd:8e:9e:11,20:a6:cd:8e:9e:80,24:f2:7f:ac:d4:e0,20:a6:cd:90:e0:50,70:3a:0e:62:ec:50,20:a6:cd:8e:9e:50,24:f2:7f:ac:d7:80,24:f2:7f:ac:d4:51,c8:b5:ad:ca:8f:d0,24:f2:7f:ac:ce:62,c8:b5:ad:e7:1d:e0,34:fc:b9:14:95:31,70:3a:0e:62:ec:40,9c:8c:d8:a1:1d:30,24:f2:7f:ac:ce:60,24:f2:7f:ac:d6:71,c8:b5:ad:e9:a6:11,c8:b5:ad:ca:75:40,34:fc:b9:14:b7:e1,c8:b5:ad:4e:95:c0,24:f2:7f:ac:c2:73,20:a6:cd:8e:9f:11,c8:b5:ad:4e:b9:81,34:fc:b9:14:af:31,c8:b5:ad:4e:b3:20,c8:b5:ad:e7:1e:71,c8:b5:ad:4e:ad:e1,24:f2:7f:ac:d7:d1,34:fc:b9:14:b0:30,24:f2:7f:ac:ce:72,20:a6:cd:8e:a0:01,34:fc:b9:14:ae:21,20:a6:cd:8e:a0:10,34:fc:b9:14:b7:e0,24:f2:7f:ac:de:10,34:fc:b9:14:af:f1,34:fc:b9:14:af:20,24:f2:7f:ac:d1:31,c8:b5:ad:e9:ab:50,44:48:c1:7b:d4:e0,c8:b5:ad:ca:8c:21,70:3a:0e:62:dd:81,c8:b5:ad:e9:9f:01,c8:b5:ad:ca:86:e0,20:a6:cd:8e:a0:c0,24:f2:7f:ac:de:00,c8:b5:ad:e7:1e:41,34:fc:b9:14:b3:a1,24:f2:7f:ac:d4:f1,c8:b5:ad:ca:8c:20,20:a6:cd:8e:a0:d0,24:f2:7f:ac:d7:71,c8:b5:ad:e9:9f:00,20:a6:cd:90:e1:c1,c8:b5:ad:e7:1e:b0,70:3a:0e:62:e0:51,c8:b5:ad:e7:1e:a1,24:f2:7f:ac:d7:91,24:f2:7f:ac:d7:90,24:f2:7f:ac:ce:70,c8:b5:ad:e7:1e:60
0,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,LG25,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,LG25,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
5,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
6,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
7,LG25,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
8,LG25,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,LG25,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
